编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#设A、B两地和A、D两地之间的距离分别为S1和S2，则	S1=1.5S2!@#None!@#设 A、B两地 和 A、D两地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 1.5 S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 1.5 S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 1.5S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 1.5S2!@#VV NN CC NN LC DEG NN AD VC NN CC NN PU AD NN VV CD NN!@#VV NN CC NN LC DEG NN AD VC NN CC NN PU AD NN VV CD NN!@#!@#!@#1 3!@#!@#!@#16!@#!@#( (IP (IP (VP (VP (VV 设) (NP (DNP (LCP (NP (NN A、B两地) (CC 和) (NN A、D两地)) (LC 之间)) (DEG 的)) (NP (NN 距离)))) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (NN S1) (CC 和) (NN S2)))))) (PU ，) (VP (ADVP (AD 则)) (NP (NN S1)) (VP (VV =) (NP (QP (CD 1.5)) (NP (NN S2)))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#14-17!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#条件状语!@#自定义类别!@#!@#7!@#
1-B!@#设A、B两地和A、D两地之间的距离分别为S1和S2，则	S1=S2!@#None!@#设 A、B两地 和 A、D两地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = S2!@#设 A、B 两 地 和 A、D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = S2!@#VV NN CC NN LC DEG NN AD VC NN CC NN PU AD NN VV NN!@#VV NN CC NN LC DEG NN AD VC NN CC NN PU AD NN VV NN!@#!@#!@#1 3!@#!@#!@#!@#!@#( (IP (VP (VP (VV 设) (NP (DNP (LCP (NP (NN A、B两地) (CC 和) (NN A、D两地)) (LC 之间)) (DEG 的)) (NP (NN 距离)))) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (NN S1) (CC 和) (NN S2)))) (PU ，) (VP (ADVP (AD 则)) (VP (NP (NN S1)) (VP (VV =) (NP (NN S2))))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#14-16!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#7!@#
1-C!@#设A、B两地和A、D两地之间的距离分别为S1和S2，则	S1=0.5S2!@#None!@#设 A、B两地 和 A、D两地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 0.5 S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 0.5 S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 0.5S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 0.5S2!@#VV NN CC NN LC DEG NN AD VC NN CC NN PU AD NN VV CD NN!@#VV NN CC NN LC DEG NN AD VC NN CC NN PU AD NN VV CD NN!@#!@#!@#1 3!@#!@#!@#16!@#!@#( (IP (IP (VP (VP (VV 设) (NP (DNP (LCP (NP (NN A、B两地) (CC 和) (NN A、D两地)) (LC 之间)) (DEG 的)) (NP (NN 距离)))) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (NN S1) (CC 和) (NN S2)))))) (PU ，) (VP (ADVP (AD 则)) (NP (NN S1)) (VP (VV =) (NP (QP (CD 0.5)) (NP (NN S2)))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#14-17!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#7!@#
1-D!@#设A、B两地和A、D两地之间的距离分别为S1和S2，则	S1=2S2!@#None!@#设 A、B两地 和 A、D两地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 2 S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 2 S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 2S2!@#设 A 、 B 两 地 和 A 、 D 两 地 之间 的 距离 分别 为 S1 和 S2 ， 则 S1 = 2S2!@#VV NN CC NN LC DEG NN AD VC NN CC NN PU AD NN VV CD NN!@#VV NN CC NN LC DEG NN AD VC NN CC NN PU AD NN VV CD NN!@#!@#!@#1 3!@#!@#!@#16!@#!@#( (IP (IP (VP (VP (VV 设) (NP (DNP (LCP (NP (NN A、B两地) (CC 和) (NN A、D两地)) (LC 之间)) (DEG 的)) (NP (NN 距离)))) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (NN S1) (CC 和) (NN S2)))))) (PU ，) (VP (ADVP (AD 则)) (NP (NN S1)) (VP (VV =) (NP (QP (CD 2)) (NP (NN S2)))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#14-17!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#7!@#
2-A!@#若A、C两地同时位于晨昏线上，则一年中这种情形会出现	1次!@#None!@#若 A、C两地 同时 位于 晨昏线 上 ， 则 一年 中 这 种 情形 会 出现 1次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一年 中 这 种 情形 会 出现 1 次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一 年 中 这 种 情形 会 出现 1 次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一 年 中 这 种 情形 会 出现 1 次!@#CS loc AD VV term LC PU AD time LC DT M NN VV VV num!@#CS NN AD VV NN LC PU AD NT LC DT M NN VV VV NN!@#8!@#!@#1!@#4!@#4!@#15!@#!@#( (IP (CP (ADVP (CS 若)) (IP (NP (NR A、C两地)) (VP (ADVP (AD 同时)) (VP (VV 位于) (LCP (NP (NN 晨昏线)) (LC 上)))))) (PU ，) (ADVP (AD 则)) (LCP (NP (NT 一年)) (LC 中)) (NP (DP (DT 这) (CLP (M 种))) (NP (NN 情形))) (VP (VV 会) (VP (VV 出现) (QP (CD 1次))))) )!@#后果_0(,)!@#后果!@#0_0-7!@#其他陈述_0(,,)!@#其他陈述!@#!@#8-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#条件状语!@#名词短语+动词短语!@#14!@#!@#
2-B!@#若A、C两地同时位于晨昏线上，则一年中这种情形会出现	2次!@#None!@#若 A、C两地 同时 位于 晨昏线 上 ， 则 一年 中 这 种 情形 会 出现 2次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一年 中 这 种 情形 会 出现 2 次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一 年 中 这 种 情形 会 出现 2 次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一 年 中 这 种 情形 会 出现 2 次!@#CS loc AD VV term LC PU AD time LC DT M NN VV VV num!@#CS NN AD VV NN LC PU AD NT LC DT M NN VV VV NN!@#8!@#!@#1!@#4!@#4!@#15!@#!@#( (IP (CP (ADVP (CS 若)) (IP (NP (NR A、C两地)) (VP (ADVP (AD 同时)) (VP (VV 位于) (LCP (NP (NN 晨昏线)) (LC 上)))))) (PU ，) (ADVP (AD 则)) (LCP (NP (NT 一年)) (LC 中)) (NP (DP (DT 这) (CLP (M 种))) (NP (NN 情形))) (VP (VV 会) (VP (VV 出现) (QP (CD 2次))))) )!@#后果_0(,)!@#后果!@#0_0-7!@#其他陈述_0(,,)!@#其他陈述!@#!@#8-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
2-C!@#若A、C两地同时位于晨昏线上，则一年中这种情形会出现	3次!@#None!@#若 A、C两地 同时 位于 晨昏线 上 ， 则 一年 中 这 种 情形 会 出现 3次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一年 中 这 种 情形 会 出现 3 次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一 年 中 这 种 情形 会 出现 3 次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一 年 中 这 种 情形 会 出现 3 次!@#CS loc AD VV term LC PU AD time LC DT M NN VV VV num!@#CS NN AD VV NN LC PU AD NT LC DT M NN VV VV NN!@#8!@#!@#1!@#4!@#4!@#15!@#!@#( (IP (CP (ADVP (CS 若)) (IP (NP (NR A、C两地)) (VP (ADVP (AD 同时)) (VP (VV 位于) (LCP (NP (NN 晨昏线)) (LC 上)))))) (PU ，) (ADVP (AD 则)) (LCP (NP (NT 一年)) (LC 中)) (NP (DP (DT 这) (CLP (M 种))) (NP (NN 情形))) (VP (VV 会) (VP (VV 出现) (QP (CD 3次))))) )!@#后果_0(,)!@#后果!@#0_0-7!@#其他陈述_0(,,)!@#其他陈述!@#!@#8-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
2-D!@#若A、C两地同时位于晨昏线上，则一年中这种情形会出现	4次!@#None!@#若 A、C两地 同时 位于 晨昏线 上 ， 则 一年 中 这 种 情形 会 出现 4次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一年 中 这 种 情形 会 出现 4 次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一 年 中 这 种 情形 会 出现 4 次!@#若 A 、 C 两 地 同时 位于 晨昏线 上 ， 则 一 年 中 这 种 情形 会 出现 4 次!@#CS loc AD VV term LC PU AD time LC DT M NN VV VV num!@#CS NN AD VV NN LC PU AD NT LC DT M NN VV VV NN!@#8!@#!@#1!@#4!@#4!@#15!@#!@#( (IP (CP (ADVP (CS 若)) (IP (NP (NR A、C两地)) (VP (ADVP (AD 同时)) (VP (VV 位于) (LCP (NP (NN 晨昏线)) (LC 上)))))) (PU ，) (ADVP (AD 则)) (LCP (NP (NT 一年)) (LC 中)) (NP (DP (DT 这) (CLP (M 种))) (NP (NN 情形))) (VP (VV 会) (VP (VV 出现) (QP (CD 4次))))) )!@#后果_0(,)!@#后果!@#0_0-7!@#其他陈述_0(,,)!@#其他陈述!@#!@#8-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
3-A!@#上图示地区的地形最有可能是	高原!@#None!@#上图 示 地区 的 地形 最 有 可能 是 高原!@#上图 示 地区 的 地形 最 有 可能 是 高原!@#上图 示 地区 的 地形 最 有 可能 是 高原!@#上图 示 地区 的 地形 最 有 可能 是 高原!@#NN VV NN DEG NN AD VE NN VC term!@#NN VV NN DEG NN AD VE NN VC NN!@#!@#!@#!@#9!@#!@#!@#!@#( (IP (NP (NN 上图)) (VP (VP (VV 示) (NP (DNP (NP (NN 地区)) (DEG 的)) (NP (NN 地形)))) (ADVP (AD 最)) (VP (VE 有) (IP (NP (NN 可能)) (VP (VC 是) (NP (NN 高原))))))) )!@#!@#!@#!@#指示_0(,)!@#指示!@#0_8!@#4-9!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#null!@#名词短语+动词短语!@#8!@#0-3!@#
3-B!@#上图示地区的地形最有可能是	平原!@#None!@#上图 示 地区 的 地形 最 有 可能 是 平原!@#上图 示 地区 的 地形 最 有 可能 是 平原!@#上图 示 地区 的 地形 最 有 可能 是 平原!@#上图 示 地区 的 地形 最 有 可能 是 平原!@#NN VV NN DEG NN AD VE NN VC term!@#NN VV NN DEG NN AD VE NN VC NN!@#!@#!@#!@#9!@#!@#!@#!@#( (IP (NP (NN 上图)) (VP (VP (VV 示) (NP (DNP (NP (NN 地区)) (DEG 的)) (NP (NN 地形)))) (ADVP (AD 最)) (VP (VE 有) (IP (NP (NN 可能)) (VP (VC 是) (NP (NN 平原))))))) )!@#!@#!@#!@#指示_0(,)!@#指示!@#0_8!@#4-9!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#0-3!@#
3-C!@#上图示地区的地形最有可能是	山地!@#None!@#上图 示 地区 的 地形 最 有 可能 是 山地!@#上图 示 地区 的 地形 最 有 可能 是 山地!@#上图 示 地区 的 地形 最 有 可能 是 山地!@#上图 示 地区 的 地形 最 有 可能 是 山地!@#NN VV NN DEG NN AD VE NN VC term!@#NN VV NN DEG NN AD VE NN VC NN!@#!@#!@#!@#9!@#!@#!@#!@#( (IP (NP (NN 上图)) (VP (VP (VV 示) (NP (DNP (NP (NN 地区)) (DEG 的)) (NP (NN 地形)))) (ADVP (AD 最)) (VP (VE 有) (IP (NP (NN 可能)) (VP (VC 是) (NP (NN 山地))))))) )!@#!@#!@#!@#指示_0(,)!@#指示!@#0_8!@#4-9!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#0-3!@#
