编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#三个观测点中	①位于大西洋!@#None!@#三 个 观测点 中 ① 位于 大西洋!@#三 个 观测点 中 ① 位于 大西洋!@#三 个 观测点 中 ① 位于 大西洋!@#三 个 观测点 中 ① 位于 大西洋!@#CD M NN LC NN VV loc!@#CD M NN LC NN VV NR!@#!@#!@#6!@#!@#6!@#!@#!@#( (IP (NP (QP (CD 三) (CLP (M 个))) (LCP (NP (NN 观测点)) (LC 中)) (NP (NN ①))) (VP (VV 位于) (NP (NR 大西洋)))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#0_5!@#4-6!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#自定义类别!@#!@#0-1 3!@#2
1-B!@#三个观测点中	②的纬度位置最低!@#None!@#三 个 观测点 中 ② 的 纬度 位置 最 低!@#三 个 观测点 中 ② 的 纬度 位置 最 低!@#三 个 观测点 中 ② 的 纬度 位置 最 低!@#三 个 观测点 中 ② 的 纬度 位置 最 低!@#CD M NN LC NN DEG term NN AD VA!@#CD M NN LC NN DEG NN NN AD VA!@#!@#!@#!@#6!@#!@#!@#!@#( (IP (NP (DNP (NP (QP (CD 三) (CLP (M 个))) (LCP (NP (NN 观测点)) (LC 中)) (NP (NN ②))) (DEG 的)) (NP (NN 纬度) (NN 位置))) (VP (ADVP (AD 最)) (VP (VA 低)))) )!@#!@#!@#!@#比较_0(,,,,)!@#比较!@#0_8!@#4-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 3!@#2
1-C!@#三个观测点中	③的海底地形是大陆架!@#None!@#三 个 观测点 中 ③ 的 海底 地形 是 大陆架!@#三 个 观测点 中 ③ 的 海底 地形 是 大陆架!@#三 个 观测点 中 ③ 的 海底 地形 是 大陆架!@#三 个 观测点 中 ③ 的 海底 地形 是 大陆架!@#CD M NN LC NN DEG NN NN VC term!@#CD M NN LC NN DEG NN NN VC NN!@#!@#!@#!@#9!@#!@#!@#!@#( (IP (NP (DNP (NP (LCP (NP (QP (CD 三) (CLP (M 个))) (NP (NN 观测点))) (LC 中)) (NP (NN ③))) (DEG 的)) (NP (NN 海底) (NN 地形))) (VP (VC 是) (NP (NN 大陆架)))) )!@#!@#!@#!@#指示_0(,)!@#指示!@#0_8!@#4-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 3!@#2
1-D!@#三个观测点中	0－1km之间，①的水温变化比②大!@#n!@#三 个 观测点 中 0－1km 之间 ， ① 的 水温 变化 比 ② 大!@#三 个 观测点 中 0 － 1 km 之间 ， ① 的 水温 变化 比 ② 大!@#三 个 观测点 中 0 － 1km 之间 ， ① 的 水温 变化 比 ② 大!@#三 个 观测点 中 0 － 1km 之间 ， ① 的 水温 变化 比 ② 大!@#CD M NN LC num LC PU NN DEG NN NN P NN VA!@#CD M NN LC NT LC PU NN DEG NN NN P NN VA!@#!@#!@#!@#!@#!@#4!@#!@#( (IP (LCP (NP (QP (CD 三) (CLP (M 个))) (NP (NN 观测点))) (LC 中)) (LCP (QP (CD 0－1km)) (LC 之间)) (PU ，) (NP (NP (DNP (NP (NN ①)) (DEG 的)) (NP (NN 水温))) (NP (NN 变化))) (VP (PP (P 比) (NP (NN ②))) (VP (VA 大)))) )!@#!@#!@#!@#比较_0(,,,,)!@#比较!@#0_11!@#7-13!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 3 6!@#2 4-5
2-A!@#日界线附近，易形成台风海区的北界可达北纬	35°!@#None!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 35°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 35°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 35°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 35°!@#term NN PU AD VV NN NN DEG NN VV term num!@#NN NN PU AD VV NN NN DEG NN VV NN NN!@#!@#!@#!@#0 5 10!@#!@#11!@#!@#( (IP (IP (NP (NN 日界线) (NN 附近)) (PU ，) (VP (ADVP (AD 易)) (VP (VV 形成) (NP (DNP (NP (NN 台风) (NN 海区)) (DEG 的)) (NP (NN 北界)))))) (VP (VV 可达) (QP (NP (NN 北纬)) (QP (CD 35°))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#0_9!@#4-11!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#范围限定!@#名词短语+动词短语!@#9!@#2-3!@#0-1
2-B!@#日界线附近，易形成台风海区的北界可达北纬	25°!@#None!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 25°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 25°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 25°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 25°!@#term NN PU AD VV NN NN DEG NN VV term num!@#NN NN PU AD VV NN NN DEG NN VV NN NN!@#!@#!@#!@#0 5 10!@#!@#11!@#!@#( (IP (IP (NP (NN 日界线) (NN 附近)) (PU ，) (VP (ADVP (AD 易)) (VP (VV 形成) (NP (DNP (NP (NN 台风) (NN 海区)) (DEG 的)) (NP (NN 北界)))))) (VP (VV 可达) (QP (NP (NN 北纬)) (QP (CD 25°))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#0_9!@#4-11!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#2-3!@#0-1
2-C!@#日界线附近，易形成台风海区的北界可达北纬	20°!@#None!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 20°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 20°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 20°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 20°!@#term NN PU AD VV NN NN DEG NN VV term num!@#NN NN PU AD VV NN NN DEG NN VV NN NN!@#!@#!@#!@#0 5 10!@#!@#11!@#!@#( (IP (IP (NP (NN 日界线) (NN 附近)) (PU ，) (VP (ADVP (AD 易)) (VP (VV 形成) (NP (DNP (NP (NN 台风) (NN 海区)) (DEG 的)) (NP (NN 北界)))))) (VP (VV 可达) (QP (NP (NN 北纬)) (QP (CD 20°))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#0_9!@#4-11!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#2-3!@#0-1
2-D!@#日界线附近，易形成台风海区的北界可达北纬	15°!@#None!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 15°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 15°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 15°!@#日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 15°!@#term NN PU AD VV NN NN DEG NN VV term num!@#NN NN PU AD VV NN NN DEG NN VV NN NN!@#!@#!@#!@#0 10!@#!@#11!@#!@#( (IP (IP (NP (NN 日界线) (NN 附近)) (PU ，) (VP (ADVP (AD 易)) (VP (VV 形成) (NP (DNP (NP (NN 台风) (NN 海区)) (DEG 的)) (NP (NN 北界)))))) (VP (VV 可达) (QP (NP (NN 北纬)) (QP (CD 15°))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#0_9!@#4-11!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#2-3!@#0-1
3-A!@#影响美国的飓风（台风）多形成于	①!@#None!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ①!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ①!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ①!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ①!@#VV loc DEC term PU term PU AD VV P NN!@#VV NR DEC NN PU NN PU AD VV P NN!@#!@#!@#1!@#3 5!@#1!@#!@#!@#( (IP (NP (CP (IP (VP (VV 影响) (NP (NR 美国)))) (DEC 的)) (NP (NN 飓风)) (PRN (PU （) (NP (NN 台风)))) (PU ）) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NN ①)))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#0_8-9!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#null!@#名词短语+动词短语!@#8-9!@#7!@#
3-B!@#影响美国的飓风（台风）多形成于	②!@#None!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ②!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ②!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ②!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ②!@#VV loc DEC term PU term PU AD VV P NN!@#VV NR DEC NN PU NN PU AD VV P NN!@#!@#!@#1!@#3 5!@#1!@#!@#!@#( (IP (NP (CP (IP (VP (VV 影响) (NP (NR 美国)))) (DEC 的)) (NP (NN 飓风)) (PRN (PU （) (NP (NN 台风)))) (PU ）) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NN ②)))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#0_8-9!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#7!@#
3-C!@#影响美国的飓风（台风）多形成于	③!@#None!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ③!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ③!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ③!@#影响 美国 的 飓风 （ 台风 ） 多 形成 于 ③!@#VV loc DEC term PU term PU AD VV P NN!@#VV NR DEC NN PU NN PU AD VV P NN!@#!@#!@#1!@#3 5!@#1!@#!@#!@#( (IP (NP (CP (IP (VP (VV 影响) (NP (NR 美国)))) (DEC 的)) (NP (NN 飓风)) (PRN (PU （) (NP (NN 台风)))) (PU ）) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NN ③)))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#0_8-9!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#7!@#
