编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#该日，荷兰比北京	自转线速度快!@#None!@#该 日 ， 荷兰 比 北京 自转线速度 快!@#该 日 ， 荷兰 比 北京 自转 线速度 快!@#该 日 ， 荷兰 比 北京 自转线速度 快!@#该 日 ， 荷兰 比 北京 自转线速度 快!@#DT NN PU loc P loc term VA!@#DT NN PU NR P NR NN VA!@#!@#!@#3 5!@#6!@#3 5 6!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 自转线速度))) (VP (VA 快)))) )!@#!@#!@#!@#时间限定_0(该日,1)比较_1(荷兰,自转线速度,北京,自转线速度,快)!@#时间限定 因素关联 比较!@#1_4!@#3-7!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#时间状语!@#名词短语(包括时间/地点短语)!@#!@#!@#
1-B!@#该日，荷兰比北京	先看到日出!@#None!@#该 日 ， 荷兰 比 北京 先 看到 日出!@#该 日 ， 荷兰 比 北京 先 看到 日出!@#该 日 ， 荷兰 比 北京 先 看到 日出!@#该 日 ， 荷兰 比 北京 先 看到 日出!@#DT NN PU loc P loc AD VV NN!@#DT NN PU NR P NR AD VV NN!@#!@#!@#3 5!@#!@#3 5!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京))) (ADVP (AD 先)) (VP (VV 看到) (NP (NN 日出))))) )!@#!@#!@#!@#时间限定_0(该日,1)比较_1(荷兰,日出,北京,日出,先看到)!@#时间限定 比较!@#1_4!@#3-8!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
1-C!@#该日，荷兰比北京	正午太阳高度角小!@#None!@#该 日 ， 荷兰 比 北京 正午太阳高度角 小!@#该 日 ， 荷兰 比 北京 正午 太阳 高度 角 小!@#该 日 ， 荷兰 比 北京 正午太阳高度角 小!@#该 日 ， 荷兰 比 北京 正午太阳高度角 小!@#DT NN PU loc P loc term VA!@#DT NN PU NR P NR NN VA!@#!@#!@#3 5!@#6!@#3 5!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 正午太阳高度角))) (VP (VA 小)))) )!@#!@#!@#!@#时间限定_0(该日,1)比较_1(荷兰,正午太阳高度角,北京,正午太阳高度角,小)!@#时间限定 影响 比较!@#1_4!@#3-7!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
1-D!@#该日，荷兰比北京	昼更短，夜更长!@#y!@#该 日 ， 荷兰 比 北京 昼 更 短 ， 夜 更 长!@#该 日 ， 荷兰 比 北京 昼 更 短 ， 夜 更 长!@#该 日 ， 荷兰 比 北京 昼 更 短 ， 夜 更 长!@#该 日 ， 荷兰 比 北京 昼 更 短 ， 夜 更 长!@#DT NN PU loc P loc NN AD VA PU NN AD VA!@#DT NN PU NR P NR NN AD VA PU NN AD VA!@#!@#!@#3 5!@#!@#3 5!@#!@#!@#( (IP (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 昼))) (ADVP (AD 更)) (VP (VA 短)))) (PU ，) (NP (NN 夜)) (VP (ADVP (AD 更)) (VP (VA 长)))) )!@#!@#!@#!@#时间限定_0(该日,1)比较_1(荷兰,昼,北京,昼,短)比较_2(荷兰,夜,北京,夜,长)!@#时间限定 比较!@#1_4 2_4!@#3-12!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#7 11!@#
1-D-0!@#该日，荷兰比北京	昼更短!@#ed-ori!@#该 日 ， 荷兰 比 北京 昼 更 短!@#该 日 ， 荷兰 比 北京 昼 更 短!@#该 日 ， 荷兰 比 北京 昼 更 短!@#该 日 ， 荷兰 比 北京 昼 更 短!@#DT NN PU loc P loc NN AD VA!@#DT NN PU NR P NR NN AD VA!@#!@#!@#3 5!@#!@#3 5!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 昼))) (ADVP (AD 更)) (VP (VA 短)))) )!@#!@#!@#!@#时间限定_0(该日,1)比较_1(荷兰,昼,北京,昼,短)!@#时间限定 比较!@#1_4!@#3-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#7!@#
1-D-1!@#该日，荷兰比北京	夜更长!@#ed-ori!@#该 日 ， 荷兰 比 北京 夜 更 长!@#该 日 ， 荷兰 比 北京 夜 更 长!@#该 日 ， 荷兰 比 北京 夜 更 长!@#该 日 ， 荷兰 比 北京 夜 更 长!@#DT NN PU loc P loc NN AD VA!@#DT NN PU NR P NR NN AD VA!@#!@#!@#3 5!@#!@#3 5!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 夜))) (ADVP (AD 更)) (VP (VA 长)))) )!@#!@#!@#!@#时间限定_0(该日,1)比较_1(荷兰,夜,北京,夜,长)!@#时间限定 比较!@#1_4!@#3-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#7!@#
2-A!@#荷兰	地处板块交界处，多地震!@#y!@#荷兰 地处 板块 交界处 ， 多 地震!@#荷兰 地处 板块 交界处 ， 多 地震!@#荷兰 地处 板块 交界处 ， 多 地震!@#荷兰 地处 板块 交界处 ， 多 地震!@#loc VV NN NN PU JJ term!@#NR VV NN NN PU JJ NN!@#!@#!@#0!@#6!@#0!@#!@#!@#( (IP (NP (NR 荷兰)) (VP (VV 地处) (NP (NP (NN 板块)) (NP (NN 交界处)) (PU ，) (ADJP (JJ 多)) (NP (NN 地震))))) )!@#!@#!@#!@#其他陈述_0(荷兰,地处,板块交界处)其他陈述_1(荷兰,地震,多)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#null!@#名词短语(包括时间/地点短语)!@#!@#!@#
2-A-0!@#荷兰	地处板块交界处!@#ed-ori!@#荷兰 地处 板块 交界 处!@#荷兰 地处 板块 交界 处!@#荷兰 地处 板块 交界处!@#荷兰 地处 板块 交界处!@#loc VV NN NN NN!@#NR VV NN NN NN!@#!@#!@#0!@#!@#0!@#!@#!@#( (IP (NP (NR 荷兰)) (VP (VV 地处) (NP (NP (NN 板块)) (NP (NN 交界) (NN 处))))) )!@#!@#!@#!@#其他陈述_0(荷兰,地处,板块交界处)!@#其他陈述!@#!@#0-4!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
2-A-1!@#荷兰	多地震!@#ed-ori!@#荷兰 多 地震!@#荷兰 多 地震!@#荷兰 多 地震!@#荷兰 多 地震!@#loc JJ term!@#NR JJ NN!@#!@#!@#0!@#2!@#0!@#!@#!@#( (NP (NP (NR 荷兰)) (ADJP (JJ 多)) (NP (NN 地震))) )!@#!@#!@#!@#其他陈述_0(荷兰,地震,多)!@#其他陈述!@#!@#0-2!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
2-B!@#荷兰	海岸线曲折，珊瑚礁发育好!@#y!@#荷兰 海岸线 曲折 ， 珊瑚礁 发育 好!@#荷兰 海岸线 曲折 ， 珊瑚礁 发育 好!@#荷兰 海岸线 曲折 ， 珊瑚礁 发育 好!@#荷兰 海岸线 曲折 ， 珊瑚礁 发育 好!@#loc NN VA PU NN VV VA!@#NR NN VA PU NN VV VA!@#!@#!@#0!@#!@#0!@#!@#!@#( (IP (IP (NP (NR 荷兰)) (NP (NN 海岸线)) (VP (VA 曲折))) (PU ，) (IP (NP (NN 珊瑚礁)) (VP (VRD (VV 发育) (VA 好))))) )!@#!@#!@#!@#其他陈述_0(荷兰,海岸线,曲折)其他陈述_1(荷兰,珊瑚礁,发育好)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
