编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#图中指示山脊和山谷的分别是	①和②!@#None!@#图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②!@#图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②!@#图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②!@#图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②!@#NN LC VV term CC term DEG AD VC NN CC NN!@#NN LC VV NN CC NN DEG AD VC NN CC NN!@#!@#!@#!@#3 5!@#!@#!@#!@#( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 指示) (NP (NN 山脊) (CC 和) (NN 山谷))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ①) (CC 和) (NN ②))))) )!@#!@#!@#!@#指示_0(山脊和山谷,①和②)!@#指示!@#0_7-8!@#3-11!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#null!@#名词短语+动词短语!@#8!@#6!@#0-2
1-B!@#图中指示山脊和山谷的分别是	②和③!@#None!@#图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③!@#图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③!@#图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③!@#图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③!@#NN LC VV term CC term DEG AD VC NN CC NN!@#NN LC VV NN CC NN DEG AD VC NN CC NN!@#!@#!@#!@#3 5!@#!@#!@#!@#( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 指示) (NP (NN 山脊) (CC 和) (NN 山谷))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ②) (CC 和) (NN ③))))) )!@#!@#!@#!@#指示_0(山脊和山谷,②和③)!@#指示!@#0_7-8!@#3-11!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#6!@#0-2
1-C!@#图中指示山脊和山谷的分别是	③和④!@#None!@#图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④!@#图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④!@#图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④!@#图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④!@#NN LC VV term CC term DEG AD VC NN CC NN!@#NN LC VV NN CC NN DEG AD VC NN CC NN!@#!@#!@#!@#3 5!@#!@#!@#!@#( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 指示) (NP (NN 山脊) (CC 和) (NN 山谷))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ③) (CC 和) (NN ④))))) )!@#!@#!@#!@#指示_0(山脊和山谷,③和④)!@#指示!@#0_7-8!@#3-11!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#6!@#0-2
1-D!@#图中指示山脊和山谷的分别是	④和⑤!@#None!@#图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤!@#图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤!@#图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤!@#图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤!@#NN LC VV term CC term DEG AD VC NN CC NN!@#NN LC VV NN CC NN DEG AD VC NN CC NN!@#!@#!@#!@#3 5!@#!@#!@#!@#( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 指示) (NP (NN 山脊) (CC 和) (NN 山谷))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ④) (CC 和) (NN ⑤))))) )!@#!@#!@#!@#指示_0(山脊和山谷,④和⑤)!@#指示!@#0_7-8!@#3-11!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#6!@#0-2
2-A!@#八达岭地区花岗岩从形成到出露所经历的地质过程依次是	固结成岩—风化剥蚀—侵蚀搬运—地壳抬升!@#None!@#八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 固结成岩 — 风化剥蚀 — 侵蚀搬运 — 地壳抬升!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 固结 成岩 — 风化 剥蚀 — 侵蚀 搬运 — 地壳 抬升!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 固结成岩 — 风化剥蚀 — 侵蚀搬运 — 地壳抬升!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 固结成岩 — 风化剥蚀 — 侵蚀搬运 — 地壳抬升!@#loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term!@#NR NN P VV P VV MSP VV DEC NN NN AD VC NN PU NN PU NN PU NN!@#!@#!@#0!@#1 9 13 15 17 19!@#15 17!@#!@#!@#( (IP (NP (NR 八达岭地区) (NN 花岗岩)) (VP (PP (P 从) (IP (VP (VV 形成) (NP (CP (IP (VP (PP (P 到) (IP (VP (VV 出露)))) (VP (MSP 所) (VP (VV 经历))))) (DEC 的)) (NP (NN 地质) (NN 过程)))))) (ADVP (AD 依次)) (VP (VC 是) (NP (NN 固结成岩) (PU —) (NN 风化剥蚀) (PU —) (NN 侵蚀搬运) (PU —) (NN 地壳抬升))))) )!@#!@#!@#!@#指示_0(地质过程,固结成岩—风化剥蚀—侵蚀搬运—地壳抬升)!@#指示!@#0_11-12!@#9-19!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#null!@#名词短语+动词短语!@#12!@#!@#0-8
2-B!@#八达岭地区花岗岩从形成到出露所经历的地质过程依次是	地壳抬升—侵蚀搬运—岩浆侵入—风化剥蚀!@#None!@#八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 地壳抬升 — 侵蚀搬运 — 岩浆侵入 — 风化剥蚀!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 地壳 抬升 — 侵蚀 搬运 — 岩浆 侵入 — 风化 剥蚀!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 地壳抬升 — 侵蚀搬运 — 岩浆侵入 — 风化剥蚀!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 地壳抬升 — 侵蚀搬运 — 岩浆侵入 — 风化剥蚀!@#loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term!@#NR NN P VV P VV MSP VV DEC NN NN AD VC NN PU NN PU NN PU NN!@#!@#!@#0!@#1 9 13 15 17 19!@#15 17!@#!@#!@#( (IP (NP (NR 八达岭地区) (NN 花岗岩)) (VP (PP (P 从) (IP (VP (VV 形成) (NP (CP (IP (VP (PP (P 到) (IP (VP (VV 出露)))) (VP (MSP 所) (VP (VV 经历))))) (DEC 的)) (NP (NN 地质) (NN 过程)))))) (ADVP (AD 依次)) (VP (VC 是) (NP (NN 地壳抬升) (PU —) (NN 侵蚀搬运) (PU —) (NN 岩浆侵入) (PU —) (NN 风化剥蚀))))) )!@#!@#!@#!@#指示_0(地质过程,地壳抬升—侵蚀搬运—岩浆侵入—风化剥蚀)!@#指示!@#0_11-12!@#9-19!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#0-8
2-C!@#八达岭地区花岗岩从形成到出露所经历的地质过程依次是	岩浆侵入—地壳抬升—风化剥蚀—侵蚀搬运!@#None!@#八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 岩浆侵入 — 地壳抬升 — 风化剥蚀 — 侵蚀搬运!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 岩浆 侵入 — 地壳 抬升 — 风化 剥蚀 — 侵蚀 搬运!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 岩浆侵入 — 地壳抬升 — 风化剥蚀 — 侵蚀搬运!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 岩浆侵入 — 地壳抬升 — 风化剥蚀 — 侵蚀搬运!@#loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term!@#NR NN P VV P VV MSP VV DEC NN NN AD VC NN PU NN PU NN PU NN!@#!@#!@#0!@#1 9 13 15 17 19!@#15 17!@#!@#!@#( (IP (NP (NR 八达岭地区) (NN 花岗岩)) (VP (PP (P 从) (IP (VP (VV 形成) (NP (CP (IP (VP (PP (P 到) (IP (VP (VV 出露)))) (VP (MSP 所) (VP (VV 经历))))) (DEC 的)) (NP (NN 地质) (NN 过程)))))) (ADVP (AD 依次)) (VP (VC 是) (NP (NN 岩浆侵入) (PU —) (NN 地壳抬升) (PU —) (NN 风化剥蚀) (PU —) (NN 侵蚀搬运))))) )!@#!@#!@#!@#指示_0(地质过程,岩浆侵入—地壳抬升—风化剥蚀—侵蚀搬运)!@#指示!@#0_11-12!@#9-19!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#0-8
2-D!@#八达岭地区花岗岩从形成到出露所经历的地质过程依次是	侵蚀搬运—岩浆侵入—地壳抬升—固结成岩!@#None!@#八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 侵蚀搬运 — 岩浆侵入 — 地壳抬升 — 固结成岩!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 侵蚀 搬运 — 岩浆 侵入 — 地壳 抬升 — 固结 成岩!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 侵蚀搬运 — 岩浆侵入 — 地壳抬升 — 固结成岩!@#八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 侵蚀搬运 — 岩浆侵入 — 地壳抬升 — 固结成岩!@#loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term!@#NR NN P VV P VV MSP VV DEC NN NN AD VC NN PU NN PU NN PU NN!@#!@#!@#0!@#1 9 13 15 17 19!@#15 17!@#!@#!@#( (IP (NP (NR 八达岭地区) (NN 花岗岩)) (VP (PP (P 从) (IP (VP (VV 形成) (NP (CP (IP (VP (PP (P 到) (IP (VP (VV 出露)))) (VP (MSP 所) (VP (VV 经历))))) (DEC 的)) (NP (NN 地质) (NN 过程)))))) (ADVP (AD 依次)) (VP (VC 是) (NP (NN 侵蚀搬运) (PU —) (NN 岩浆侵入) (PU —) (NN 地壳抬升) (PU —) (NN 固结成岩))))) )!@#!@#!@#!@#指示_0(地质过程,侵蚀搬运—岩浆侵入—地壳抬升—固结成岩)!@#指示!@#0_11-12!@#9-19!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#0-8
3-A!@#经纬网的纬线间距为	3°!@#None!@#经纬网 的 纬线 间距 为 3°!@#经纬网 的 纬线 间距 为 3°!@#经纬网 的 纬线 间距 为 3°!@#经纬网 的 纬线 间距 为 3°!@#term DEG term NN VC num!@#NN DEG NN NN VC NN!@#!@#!@#!@#0 2!@#!@#5!@#!@#( (IP (NP (DNP (NP (NN 经纬网)) (DEG 的)) (NP (NN 纬线) (NN 间距))) (VP (VC 为) (QP (CD 3°)))) )!@#!@#!@#!@#指示_0(经纬网的纬线间距,3°)!@#指示!@#0_4!@#0-5!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#null!@#名词短语+动词短语!@#4!@#!@#
3-B!@#经纬网的纬线间距为	5°!@#None!@#经纬网 的 纬线 间距 为 5°!@#经纬网 的 纬线 间距 为 5°!@#经纬网 的 纬线 间距 为 5°!@#经纬网 的 纬线 间距 为 5°!@#term DEG term NN VC num!@#NN DEG NN NN VC NN!@#!@#!@#!@#0 2!@#!@#5!@#!@#( (IP (NP (DNP (NP (NN 经纬网)) (DEG 的)) (NP (NN 纬线) (NN 间距))) (VP (VC 为) (QP (CD 5°)))) )!@#!@#!@#!@#指示_0(经纬网的纬线间距,5°)!@#指示!@#0_4!@#0-5!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
