编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#太白山	北麓为亚热带常绿阔叶林带!@#None!@#太白山北麓 为 亚热带常绿阔叶林 带!@#太白山 北麓 为 亚热带 常绿 阔叶林 带!@#太白山 北麓 为 亚热带常绿阔叶林带!@#太白山 北麓 为 亚热带常绿阔叶林带!@#loc P term NN!@#NN VC NN VV!@#!@#!@#0!@#2!@#!@#!@#!@#( (IP (NP (NR 太白山北麓)) (VP (PP (P 为) (NP (NN 亚热带常绿阔叶林))) (VP (NP (NN 带))))) )!@#!@#!@#!@#指示_0（太白山北麓，亚热带常绿阔叶林带）!@#指示!@#0_1!@#0-3!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#自定义类别!@#名词短语(包括时间/地点短语)!@#!@#!@#
1-B!@#太白山	北坡山中腰降水量比山麓少!@#None!@#太白山北坡 山 中腰 降水量 比 山麓 少!@#太白山 北坡 山 中腰 降水量 比 山麓 少!@#太白山 北坡 山中腰 降水量 比 山麓 少!@#太白山 北坡 山中腰 降水量 比 山麓 少!@#loc NN NN NN P NN VA!@#NR NN NN NN P NN VA!@#!@#!@#0!@#!@#!@#!@#!@#( (IP (NP (NP (NR 太白山北坡)) (NP (NN 山))) (NP (NN 中腰) (NN 降水量)) (VP (PP (P 比) (NP (NN 山麓))) (VP (VA 少)))) )!@#!@#!@#!@#比较_0(太白山北坡山中腰,降水量,太白山北坡山麓,降水量,少)!@#比较!@#0_4!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
1-C!@#太白山	又密又高的树木在针叶林带!@#None!@#太白山 又 密 又 高 的 树木 在 针叶林带!@#太白山 又 密 又 高 的 树木 在 针叶林 带!@#太白山 又 密 又 高 的 树木 在 针叶林带!@#太白山 又 密 又 高 的 树木 在 针叶林带!@#loc AD VA AD VA DEC NN P term!@#NR AD VA AD VA DEC NN P NN!@#!@#!@#0!@#8!@#!@#!@#!@#( (IP (NP (NP (NR 太白山)) (CP (IP (VP (VP (ADVP (AD 又)) (VP (VA 密))) (VP (ADVP (AD 又)) (VP (VA 高))))) (DEC 的)) (NP (NN 树木))) (VP (PP (P 在) (NP (NN 针叶林带))))) )!@#!@#!@#!@#分布_0(太白山又密又高的树木,针叶林带)!@#分布!@#0_7!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
1-D!@#太白山	树木大稀大矮处为稀树草原!@#None!@#太白山 树木 大稀 大矮 处 为 稀树 草原!@#太白山 树木 大稀 大矮 处 为 稀树 草原!@#太白山 树木 大稀 大矮 处 为 稀树 草原!@#太白山 树木 大稀 大矮 处 为 稀树 草原!@#loc NN VA VA NN VC NN term!@#NR NN VA VA NN VC NN NN!@#!@#!@#0!@#7!@#6!@#!@#!@#( (IP (NP (CP (IP (NP (NR 太白山) (NN 树木)) (VP (VCD (VA 大稀) (VA 大矮))))) (NP (NN 处))) (VP (VC 为) (NP (NN 稀树) (NN 草原)))) )!@#!@#!@#!@#指示_0(太白山树木大稀大矮处,稀树草原)!@#指示!@#0_5!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
2-①!@#如果过度猎狼，将会	造成山区生物多样性减少!@#None!@#如果 过度 猎狼 ， 将 会 造成 山区 生物多样性 减少!@#如果 过度 猎狼 ， 将 会 造成 山区 生物 多样性 减少!@#如果 过度 猎狼 ， 将 会 造成 山区 生物多样性 减少!@#如果 过度 猎狼 ， 将 会 造成 山区 生物多样性 减少!@#CS AD VV PU AD VV VV NN term VV!@#CS AD VV PU AD VV VV NN NN VV!@#!@#!@#!@#8!@#!@#!@#!@#( (IP (IP (VP (ADVP (CS 如果)) (ADVP (AD 过度)) (VP (VV 猎狼)))) (PU ，) (VP (ADVP (AD 将)) (VP (VV 会) (VP (VV 造成) (IP (NP (NN 山区) (NN 生物多样性)) (VP (VV 减少))))))) )!@#后果_0(过度猎狼,shan'qu)!@#后果!@#0_3-4!@#影响_0(过度猎狼,山区生物多样性,#,减少)!@#影响!@#0_4-5!@#1-9!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@# 条件状语!@#动词短语!@#4-5!@#0!@#
2-②!@#如果过度猎狼，将会	增加山区的环境承载力!@#None!@#如果 过度 猎狼 ， 将 会 增加 山区 的 环境承载力!@#如果 过度 猎狼 ， 将 会 增加 山区 的 环境 承载力!@#如果 过度 猎狼 ， 将 会 增加 山区 的 环境承载力!@#如果 过度 猎狼 ， 将 会 增加 山区 的 环境承载力!@#CS AD VV PU AD VV VV NN DEG term!@#CS AD VV PU AD VV VV NN DEG NN!@#!@#!@#!@#9!@#!@#!@#!@#( (IP (IP (VP (ADVP (CS 如果)) (ADVP (AD 过度)) (VP (VV 猎狼)))) (PU ，) (VP (ADVP (AD 将)) (VP (VV 会) (VP (VV 增加) (NP (DNP (NP (NN 山区)) (DEG 的)) (NP (NN 环境承载力))))))) )!@#后果_0(,)!@#后果!@#0_3-4!@#影响_0(过度猎狼,山区的环境承载力,#,增加)!@#影响!@#0_4-5!@#1-9!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0!@#
2-③!@#如果过度猎狼，将会	导致不良消费观念的形成!@#None!@#如果 过度 猎狼 ， 将 会 导致 不良 消费 观念 的 形成!@#如果 过度 猎狼 ， 将 会 导致 不良 消费 观念 的 形成!@#如果 过度 猎狼 ， 将 会 导致 不良 消费 观念 的 形成!@#如果 过度 猎狼 ， 将 会 导致 不良 消费 观念 的 形成!@#CS AD VV PU AD VV VV JJ NN NN DEG NN!@#CS AD VV PU AD VV VV JJ NN NN DEG NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (VP (ADVP (CS 如果)) (ADVP (AD 过度)) (VP (VV 猎狼)))) (PU ，) (VP (ADVP (AD 将)) (VP (VV 会) (VP (VV 导致) (NP (DNP (NP (ADJP (JJ 不良)) (NP (NN 消费) (NN 观念))) (DEG 的)) (NP (NN 形成))))))) )!@#后果_0(,)!@#后果!@#0_3-4!@#影响_0(过度猎狼,不良消费观念,#,形成)!@#影响!@#0_4-5!@#1-9!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0!@#
2-④!@#如果过度猎狼，将会	破坏可持续发展的公平性!@#None!@#如果 过度 猎狼 ， 将 会 破坏 可持续 发展 的 公平性!@#如果 过度 猎狼 ， 将 会 破坏 可持续 发展 的 公平性!@#如果 过度 猎狼 ， 将 会 破坏 可 持续 发展 的 公平性!@#如果 过度 猎狼 ， 将 会 破坏 可 持续 发展 的 公平性!@#CS AD VV PU AD VV VV JJ NN DEG NN!@#CS AD VV PU AD VV VV JJ NN DEG NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (VP (ADVP (CS 如果)) (ADVP (AD 过度)) (VP (VV 猎狼)))) (PU ，) (VP (ADVP (AD 将)) (VP (VV 会) (VP (VV 破坏) (NP (DNP (NP (ADJP (JJ 可持续)) (NP (NN 发展))) (DEG 的)) (NP (NN 公平性))))))) )!@#!@#!@#!@#影响_0(过度猎狼,可持续发展的公平性,#,破坏)!@#影响!@#0_4-5!@#1-9!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0!@#
3-A!@#图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	⑥①②!@#None!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑥ ① ②!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑥ ① ②!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑥ ① ②!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑥ ① ②!@#NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU NN NN AD VC NN NN NN!@#NN LC AD VE NN VC NN PU NN PU NN PU NN NN PU NN NN AD VC NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 为) (NP (NN 博物馆)))))) (PU 、) (IP (NP (NN 乡) (PU （) (NN 镇) (PU ）) (NN 行政) (NN 机构) (PU 、) (NN 集贸) (NN 市场)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN ⑥) (NN ①) (NN ②)))))) )!@#!@#!@#!@#指示_0(博物馆、乡（镇）行政机构、集贸市场,⑥①②)!@#指示!@#0_17-18!@#6-21!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@# null!@#名词短语(包括时间/地点短语)!@#!@#0-5!@#
3-B!@#图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	⑤③⑥!@#None!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑤ ③ ⑥!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑤ ③ ⑥!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑤ ③ ⑥!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑤ ③ ⑥!@#NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU NN NN AD VC NN NN NN!@#NN LC AD VE NN VC NN PU NN PU NN PU NN NN PU NN NN AD VC NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 为) (NP (NN 博物馆)))))) (PU 、) (IP (NP (NN 乡) (PU （) (NN 镇) (PU ）) (NN 行政) (NN 机构) (PU 、) (NN 集贸) (NN 市场)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN ⑤) (NN ③) (NN ⑥)))))) )!@#!@#!@#!@#指示_0(博物馆、乡（镇）行政机构、集贸市场,⑤③⑥)!@#指示!@#0_17-18!@#6-21!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#0-5!@#
3-C!@#图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	③②④!@#None!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ③ ② ④!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ③ ② ④!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ③ ② ④!@#图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ③ ② ④!@#NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU NN NN AD VC NN NN NN!@#NN LC AD VE NN VC NN PU NN PU NN PU NN NN PU NN NN AD VC NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 为) (NP (NN 博物馆)))))) (PU 、) (IP (NP (NN 乡) (PU （) (NN 镇) (PU ）) (NN 行政) (NN 机构) (PU 、) (NN 集贸) (NN 市场)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN ③) (NN ②) (NN ④)))))) )!@#!@#!@#!@#指示_0(博物馆、乡（镇）行政机构、集贸市场,③②④)!@#指示!@#0_17-18!@#6-21!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#0-5!@#
