编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#器箭分离时“嫦娥三号”探测器飞越	亚洲上空!@#None!@#器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 亚洲 上空!@#器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 亚洲 上空!@#器箭 分离 时 “ 嫦娥三号 ” 探测器 飞越 亚 洲上空!@#器箭 分离 时 “ 嫦娥三号 ” 探测器 飞越 亚洲 上空!@#NN VV LC PU NR num PU NN VV loc NN!@#NN VV LC PU NN NN PU NN VV NR NN!@#!@#!@#9!@#!@#9!@#5!@#!@#( (IP (NP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (QP (PU “) (NP (NR 嫦娥)) (CD 三号) (PU ”)) (NP (NN 探测器))) (VP (VV 飞越) (NP (NP (NR 亚洲)) (NP (NN 上空))))) )!@#!@#!@#!@#其他陈述_0(器箭分离时“嫦娥三号”探测器,飞越,亚洲上空)!@#其他陈述!@#0_8!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#null!@#名词短语+动词短语!@#8!@#!@#
1-B!@#器箭分离时“嫦娥三号”探测器飞越	南美洲上空!@#None!@#器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 南美洲 上空!@#器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 南美洲 上空!@#器箭 分离 时 “ 嫦娥三号 ” 探测器飞 越南美 洲上空!@#器箭 分离 时 “ 嫦娥三号 ” 探测器 飞越 南美洲 上空!@#NN VV LC PU NR num PU NN VV loc NN!@#NN VV LC PU NN NN PU NN VV NR NN!@#!@#!@#9!@#!@#!@#5!@#!@#( (IP (NP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (QP (PU “) (NP (NR 嫦娥)) (CD 三号) (PU ”)) (NP (NN 探测器))) (VP (VV 飞越) (NP (NP (NR 南美洲)) (NP (NN 上空))))) )!@#!@#!@#!@#其他陈述_0(器箭分离时“嫦娥三号”探测器,飞越,南美洲上空)!@#其他陈述!@#0_8!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
1-C!@#器箭分离时“嫦娥三号”探测器飞越	大西洋上空!@#None!@#器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 大西洋 上空!@#器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 大西洋 上空!@#器箭 分离 时 “ 嫦娥三号 ” 探测器 飞越 大西 洋上空!@#器箭 分离 时 “ 嫦娥三号 ” 探测器 飞越 大西洋 上空!@#NN VV LC PU NR num PU NN VV loc NN!@#NN VV LC PU NN NN PU NN VV NR NN!@#!@#!@#9!@#!@#9!@#5!@#!@#( (IP (NP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (QP (PU “) (NP (NR 嫦娥)) (CD 三号) (PU ”)) (NP (NN 探测器))) (VP (VV 飞越) (NP (NP (NR 大西洋)) (NP (NN 上空))))) )!@#!@#!@#!@#其他陈述_0(器箭分离时“嫦娥三号”探测器,飞越,大西洋上空)!@#其他陈述!@#0_8!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
1-D!@#器箭分离时“嫦娥三号”探测器飞越	太平洋上空!@#None!@#器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 太平洋 上空!@#器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 太平洋 上空!@#器箭 分离 时 “ 嫦娥三号 ” 探测器 飞越 太 平 洋上空!@#器箭 分离 时 “ 嫦娥三号 ” 探测器 飞越 太平洋 上空!@#NN VV LC PU NR num PU NN VV loc NN!@#NN VV LC PU NN NN PU NN VV NN NN!@#!@#!@#9!@#!@#9!@#5!@#!@#( (IP (NP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (QP (PU “) (NP (NR 嫦娥)) (CD 三号) (PU ”)) (NP (NN 探测器))) (VP (VV 飞越) (NP (NP (NR 太平洋)) (NP (NN 上空))))) )!@#!@#!@#!@#其他陈述_0(器箭分离时“嫦娥三号”探测器,飞越,太平洋上空)!@#其他陈述!@#0_8!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
2-A!@#器箭分离时，甲地的区时为	1日21时48分!@#None!@#器箭 分离 时 ， 甲地 的 区时 为 1日21时48分!@#器箭 分离 时 ， 甲地 的 区时 为 1日 21时 48分!@#器箭 分离 时 ， 甲地 的 区时 为 1日21时48分!@#器箭 分离 时 ， 甲地 的 区时 为 1日 21时 48分!@#NN VV LC PU loc DEG term VC time!@#NN VV LC PU NN DEG NN VC NN!@#8!@#8!@#4!@#6!@#!@#!@#!@#( (IP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (PU ，) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 1日21时48分)))) )!@#!@#!@#!@#指示_0(器箭分离时，甲地的区时,1日21时48分)!@#指示!@#0_7!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#时间状语!@#名词短语+动词短语!@#7!@#!@#
2-B!@#器箭分离时，甲地的区时为	1日5时40分!@#None!@#器箭 分离 时 ， 甲地 的 区时 为 1日5时40分!@#器箭 分离 时 ， 甲地 的 区时 为 1日 5时 40分!@#器箭 分离 时 ， 甲地 的 区时 为 1日5时40分!@#器箭 分离 时 ， 甲地 的 区时 为 1日 5时 40分!@#NN VV LC PU loc DEG term VC time!@#NN VV LC PU NN DEG NN VC NN!@#8!@#8!@#4!@#6!@#!@#!@#!@#( (IP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (PU ，) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 1日5时40分)))) )!@#!@#!@#!@#指示_0(器箭分离时，甲地的区时,1日5时40分)!@#指示!@#0_7!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
2-C!@#器箭分离时，甲地的区时为	2日5时48分!@#None!@#器箭 分离 时 ， 甲地 的 区时 为 2日5时48分!@#器箭 分离 时 ， 甲地 的 区时 为 2日 5时 48分!@#器箭 分离 时 ， 甲地 的 区时 为 2日5时48分!@#器箭 分离 时 ， 甲地 的 区时 为 2日 5时 48分!@#NN VV LC PU loc DEG term VC time!@#NN VV LC PU NN DEG NN VC CD!@#8!@#8!@#4!@#6!@#!@#!@#!@#( (IP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (PU ，) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 2日5时48分)))) )!@#!@#!@#!@#指示_0(器箭分离时，甲地的区时,2日5时48分)!@#指示!@#0_7!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
2-D!@#器箭分离时，甲地的区时为	2日21时40分!@#None!@#器箭 分离 时 ， 甲地 的 区时 为 2日21时40分!@#器箭 分离 时 ， 甲地 的 区时 为 2日 21时 40分!@#器箭 分离 时 ， 甲地 的 区时 为 2日21时40分!@#器箭 分离 时 ， 甲地 的 区时 为 2日 21时 40分!@#NN VV LC PU loc DEG term VC time!@#NN VV LC PU NN DEG NN VC CD!@#8!@#8!@#4!@#6!@#!@#!@#!@#( (IP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (PU ，) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 2日21时40分)))) )!@#!@#!@#!@#指示_0(器箭分离时，甲地的区时,2日21时40分)!@#指示!@#0_7!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
3-A!@#下图中能反映此日后20天时全球昼长分布的曲线是	①!@#None!@#下图 中 能 反映 此 日 后 20天 时 全球 昼长 分布 的 曲线 是 ①!@#下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ①!@#下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ①!@#下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ①!@#NN LC VV VV DT NN LC time LC NN NN NN DEG NN VC NN!@#NN LC VV VV DT NN LC NN LC NN NN NN DEG NN VC NN!@#7!@#!@#!@#!@#!@#!@#!@#( (IP (LCP (NP (NN 下图)) (LC 中)) (VP (VV 能) (VP (VV 反映) (IP (LCP (NP (DP (DT 此)) (NP (NN 日))) (LC 后)) (NP (LCP (NP (NT 20天)) (LC 时)) (DNP (NP (NN 全球) (NN 昼长) (NN 分布)) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ①))))))) )!@#!@#!@#!@#指示_0(能反映此日后20天时全球昼长分布的曲线,①)!@#指示!@#0_14!@#2-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#null!@#名词短语+动词短语!@#14!@#0-1!@#
3-B!@#下图中能反映此日后20天时全球昼长分布的曲线是	②!@#None!@#下图 中 能 反映 此 日 后 20天 时 全球 昼长 分布 的 曲线 是 ②!@#下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ②!@#下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ②!@#下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ②!@#NN LC VV VV DT NN LC time LC NN NN NN DEG NN VC NN!@#NN LC VV VV DT NN LC NN LC NN NN NN DEG NN VC NN!@#7!@#!@#!@#!@#!@#!@#!@#( (IP (LCP (NP (NN 下图)) (LC 中)) (VP (VV 能) (VP (VV 反映) (IP (LCP (NP (DP (DT 此)) (NP (NN 日))) (LC 后)) (NP (LCP (NP (NT 20天)) (LC 时)) (DNP (NP (NN 全球) (NN 昼长) (NN 分布)) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ②))))))) )!@#!@#!@#!@#指示_0(能反映此日后20天时全球昼长分布的曲线,②)!@#指示!@#0_14!@#2-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#0-1!@#
3-C!@#下图中能反映此日后20天时全球昼长分布的曲线是	③!@#None!@#下图 中 能 反映 此 日 后 20天 时 全球 昼长 分布 的 曲线 是 ③!@#下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ③!@#下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ③!@#下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ③!@#NN LC VV VV DT NN LC time LC NN NN NN DEG NN VC NN!@#NN LC VV VV DT NN LC NN LC NN NN NN DEG NN VC NN!@#7!@#!@#!@#!@#!@#!@#!@#( (IP (LCP (NP (NN 下图)) (LC 中)) (VP (VV 能) (VP (VV 反映) (IP (LCP (NP (DP (DT 此)) (NP (NN 日))) (LC 后)) (NP (LCP (NP (NT 20天)) (LC 时)) (DNP (NP (NN 全球) (NN 昼长) (NN 分布)) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ③))))))) )!@#!@#!@#!@#指示_0(能反映此日后20天时全球昼长分布的曲线,③)!@#指示!@#0_14!@#2-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#0-1!@#
