编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#图中天气系统	为北半球反气旋!@#None!@#图 中 天气系统 为 北半球 反气旋!@#图 中 天气系统 为 北半球 反气旋!@#图 中 天气系统 为 北半球 反气旋!@#图 中 天气系统 为 北半球 反气旋!@#!@#NN LC NN VC NN NN!@#!@#!@#4!@#2 5!@#!@#!@#!@#!@#!@#!@#!@#指示_0(天气系统,北半球反气旋)!@#指示!@#0_3!@#2-5!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@# null!@#名词短语(包括时间/地点短语)!@#!@#0-1!@#
1-B!@#图中天气系统	生成于太平洋面!@#None!@#图 中 天气系统 生成 于 太平洋面!@#图 中 天气系统 生成 于 太平洋面!@#图 中 天气系统 生成 于 太平洋 面!@#图 中 天气系统 生成 于 太平洋 面!@#!@#NN LC NN VV P NN!@#!@#!@#5!@#2!@#!@#!@#!@#!@#!@#!@#!@#其他陈述_0(天气系统,生成于,太平洋面)!@#其他陈述!@#!@#2-5!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0-1!@#
1-C!@#图中天气系统	带来强雨雪天气!@#None!@#图 中 天气系统 带来 强 雨雪 天气!@#图 中 天气系统 带来 强 雨雪 天气!@#图 中 天气系统 带来 强 雨雪 天气!@#图 中 天气系统 带来 强 雨雪 天气!@#!@#NN LC NN VV NN NN NN!@#!@#!@#!@#2!@#!@#!@#!@#!@#!@#!@#!@#其他陈述_0(天气系统,带来,强雨雪天气)!@#其他陈述!@#!@#2-6!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0-1!@#
1-D!@#图中天气系统	会发展成强台风!@#None!@#图 中 天气系统 会 发展 成 强 台风!@#图 中 天气系统 会 发展 成 强 台风!@#图 中 天气系统 会 发展 成强 台风!@#图 中 天气系统 会 发展 成强 台风!@#!@#NN LC NN VV VV VV NN NN!@#!@#!@#!@#2 7!@#!@#!@#!@#!@#!@#!@#!@#其他陈述_0(天气系统,会发展成,强台风)!@#其他陈述!@#!@#2-7!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0-1!@#
2-A!@#拍摄云图时	当地时间是20日上午!@#None!@#拍摄 云图 时 当地 时间 是 20日 上午!@#拍摄 云图 时 当地 时间 是 20日 上午!@#拍摄 云图 时 当地 时间 是 20日 上午!@#拍摄 云图 时 当地 时间 是 20日 上午!@#!@#VV NN LC NN NN VC NT NT!@#6 7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#指示_0(当地时间,20日上午)时间限定_1(拍摄云图时,0-2)!@#时间限定 指示!@#0_5!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@# null!@#时间状语!@#!@#!@#
2-B!@#拍摄云图时	该区域可见“午夜太阳”!@#None!@#拍摄 云图 时 该区域 可 见 “ 午夜 太阳 ”!@#拍摄 云图 时 该 区域 可 见 “ 午夜 太阳 ”!@#拍摄 云图 时 该 区域 可 见 “ 午夜 太阳 ”!@#拍摄 云图 时 该 区域 可 见 “ 午夜 太阳 ”!@#!@#VV NN LC NN VV VV PU NN NN PU!@#!@#!@#3!@#!@#!@#!@#!@#!@#!@#!@#!@#其他陈述_0(该区域,可见,“午夜太阳”)时间限定_1(拍摄云图时,0-2)!@#其他陈述 时间限定!@#!@#0-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
2-C!@#拍摄云图时	地球接近公转轨道的远日点!@#None!@#拍摄 云图 时 地球 接近 公转轨道 的 远日点!@#拍摄 云图 时 地球 接近 公转轨道 的 远日点!@#拍摄 云图时 地球 接近 公转轨道 的 远日点!@#拍摄 云图时 地球 接近 公转轨道 的 远日点!@#!@#VV NN LC NN VV NN DEG NN!@#!@#!@#!@#5 7!@#!@#!@#!@#!@#!@#!@#!@#其他陈述_0(地球,接近,公转轨道的远日点)时间限定_1(拍摄云图时,0-2)!@#其他陈述 时间限定!@#!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
2-D!@#拍摄云图时	太阳直射点逐渐向赤道移动!@#None!@#拍摄 云图 时 太阳直射点 逐渐 向 赤道 移动!@#拍摄 云图 时 太阳直射点 逐渐 向 赤道 移动!@#拍摄 云图 时 太阳直射点 逐渐 向 赤道 移动!@#拍摄 云图 时 太阳直射点 逐渐 向 赤道 移动!@#!@#VV NN LC NN AD P NN VV!@#!@#!@#!@#3 6!@#!@#!@#!@#!@#!@#!@#!@#运动_0(太阳直射点,逐渐向赤道,移动)时间限定_1(拍摄云图时,0-2)!@#时间限定 运动!@#0_7!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
3-A!@#图中区域	东部比西部冰川面积大!@#None!@#图 中 区域 东部 比 西部 冰川 面积 大!@#图 中 区域 东部 比 西部 冰川 面积 大!@#图 中 区域 东部 比 西部 冰川 面积 大!@#图 中 区域 东部 比 西部 冰川 面积 大!@#!@#NN LC NN NN P NN NN NN VA!@#!@#!@#!@#6!@#!@#!@#!@#!@#!@#!@#!@#比较_0(图中区域东部,冰川面积,西部,,大)!@#比较!@#0_4!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@# null!@#名词短语(包括时间/地点短语)!@#!@#!@#
3-B!@#图中区域	东部比西部冰川退化快!@#None!@#图 中 区域 东部 比 西部 冰川 退化 快!@#图 中 区域 东部 比 西部 冰川 退化 快!@#图 中 区域 东部 比 西部 冰川 退化 快!@#图 中 区域 东部 比 西部 冰川 退化 快!@#!@#NN LC NN NN P NN NN VV VA!@#!@#!@#!@#6!@#!@#!@#!@#!@#!@#!@#!@#比较_0(图中区域东部,冰川退化,西部,,快)!@#比较!@#0_4!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
3-C!@#图中区域	山脉呈东北—西南走向!@#None!@#图 中 区域 山脉 呈 东北 — 西南 走向!@#图 中 区域 山脉 呈 东北 — 西南 走向!@#图 中 区域 山脉 呈 东北 — 西南 走向!@#图 中 区域 山脉 呈 东北 — 西南 走向!@#!@#NN LC NN NN VV NN PU NN NN!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#其他陈述_0(图中区域山脉呈东北—西南走向)!@#其他陈述!@#!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
