编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#据文中描述推测	“万壑有声含晚籁”中的万壑是由石灰岩溶蚀形成!@#None!@#据 文 中 描述 推测 “ 万壑 有 声 含 晚籁 ” 中的 万壑 是 由 石灰岩 溶蚀 形成!@#据 文 中 描述 推测 “ 万壑 有 声 含 晚籁 ” 中的 万壑 是 由 石灰岩 溶蚀 形成!@#据文 中 描述 推测 “ 万壑 有 声含 晚籁 ” 中的 万壑 是 由 石灰岩 溶蚀 形成!@#据文 中 描述 推测 “ 万壑 有 声含 晚籁 ” 中的 万壑 是 由 石灰岩 溶蚀 形成!@#!@#P NN LC VV VV PU NN VE NN VV NN PU NN NN VC P NN NN VV!@#!@#!@#!@#17!@#!@#!@#!@#!@#!@#!@#!@#构成_0(万壑,石灰岩,溶蚀)!@#构成!@#0_18!@#13-18!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@# null!@#自定义类别!@#14 18!@#0 4-5 11-12!@#1-3 6-10
1-B!@#据文中描述推测	“数峰无语立斜阳”中的斜阳使数峰的影子均朝西!@#None!@#据 文 中 描述 推测 “ 数峰 无语 立 斜阳 ” 中 的 斜阳 使 数峰 的 影子 均 朝 西!@#据 文 中 描述 推测 “ 数峰 无语 立 斜阳 ” 中 的 斜阳 使 数峰 的 影子 均 朝 西!@#据文 中 描述 推测 “ 数峰 无语 立斜阳 ” 中 的 斜阳 使 数峰 的 影子 均 朝 西!@#据文 中 描述 推测 “ 数峰 无语 立斜阳 ” 中 的 斜阳 使 数峰 的 影子 均 朝 西!@#!@#P NN LC VV VV PU NN NN VV NN PU LC DEG NN VV NN DEG NN AD VV NN!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#其他陈述_0(斜阳,使,影子均朝西)!@#其他陈述!@#!@#13-20!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 4-5 10-12!@#1-3 6-9
1-C!@#据文中描述推测	“棠梨叶落胭脂色”是指由视觉感受到的秋天景象!@#None!@#据 文 中 描述 推测 “ 棠梨 叶落 胭脂色 ” 是 指 由 视觉 感受 到 的 秋天 景象!@#据 文 中 描述 推测 “ 棠梨 叶落胭 脂色 ” 是 指 由 视觉 感受 到 的 秋天 景象!@#据文 中 描述 推测 “ 棠梨 叶落胭 脂色 ” 是 指 由 视觉 感受 到 的 秋天 景象!@#据文 中 描述 推测 “ 棠梨 叶落胭 脂色 ” 是 指 由 视觉 感受 到 的 秋天 景象!@#!@#P NN LC VV VV PU NN NN NN PU VC VV P NN VV VV DEC NN NN!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#其他陈述_0(是指由视觉感受到的秋天景象)!@#其他陈述!@#!@#10-18!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 4-5 9!@#1-3 6-8
1-D!@#据文中描述推测	“荞麦花开白雪香”中的荞麦是世界主要粮食作物!@#None!@#据 文 中 描述 推测 “ 荞麦 花 开 白雪 香 ” 中 的 荞麦 是 世界 主要 粮食 作物!@#据 文 中 描述 推测 “ 荞麦 花 开 白雪 香 ” 中 的 荞麦 是 世界 主要 粮食 作物!@#据文 中 描述 推测 “ 荞麦 花 开白 雪香 ” 中 的 荞麦 是 世界 主要 粮食 作物!@#据文 中 描述 推测 “ 荞麦 花 开白 雪香 ” 中 的 荞麦 是 世界 主要 粮食 作物!@#!@#P NN LC VV VV PU NN NN VV NN NN PU LC DEG NN VC NN JJ NN NN!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#指示_0(荞麦,世界主要粮食作物)!@#指示!@#0_15!@#14-19!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 4-5 11-13!@#1-3 6-10
2-A!@#图中	甲、乙两岛均位于东半球!@#None!@#图 中 甲 、 乙 两 岛 均 位于 东半球!@#图 中 甲 、 乙 两 岛 均 位于 东半球!@#图 中 甲 、 乙 两 岛 均 位于 东半球!@#图 中 甲 、 乙 两 岛 均 位于 东半球!@#!@#NN LC NN PU NN CD NN AD VV NN!@#!@#!@#!@#9!@#!@#!@#!@#!@#!@#!@#!@#分布_0(甲、乙两岛,东半球)!@#分布!@#0_8!@#2-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@# null!@#名词短语+动词短语!@#8!@#0-1!@#
2-B!@#图中	甲岛的位置位于乙岛东北方向!@#None!@#图 中 甲岛 的 位置 位于 乙岛 东北 方向!@#图 中 甲岛 的 位置 位于 乙岛 东北 方向!@#图 中 甲 岛 的 位置 位于 乙 岛 东北 方向!@#图 中 甲 岛 的 位置 位于 乙 岛 东北 方向!@#!@#NN LC NR DEG NN VV NR NN NN!@#!@#!@#2 6!@#!@#!@#!@#!@#!@#!@#!@#!@#分布_0(甲岛,乙岛东北方向)!@#分布!@#0_5!@#2-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
2-C!@#图中	甲岛的南北距离比乙岛大!@#None!@#图 中 甲岛 的 南北 距离 比 乙岛 大!@#图 中 甲岛 的 南北 距离 比 乙岛 大!@#图 中 甲 岛 的 南北 距离比 乙 岛 大!@#图 中 甲 岛 的 南北 距离比 乙 岛 大!@#!@#NN LC NR DEG NN NN P NN VA!@#!@#!@#2 7!@#!@#!@#!@#!@#!@#!@#!@#!@#比较_0(甲岛,南北距离,乙岛,南北距离,大)!@#比较!@#0_6!@#2-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
2-D!@#图中	甲岛日出东北时乙岛昼短夜长!@#None!@#图 中 甲岛 日出 东北 时 乙岛 昼 短 夜 长!@#图 中 甲岛 日出 东北 时 乙岛 昼 短 夜 长!@#图 中 甲 岛 日出 东北 时 乙 岛 昼 短 夜 长!@#图 中 甲 岛 日出 东北 时 乙 岛 昼 短 夜 长!@#!@#NN LC NR VV NN LC NR NN VA NN VA!@#!@#!@#2 6!@#!@#!@#!@#!@#!@#!@#!@#!@#时间限定_0(甲岛日出东北时,1)比较_1(乙岛,昼,乙岛,夜,短)!@#时间限定 比较!@#1_10!@#2-10!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
3-①!@#甲、乙两岛的共性特征是	终年盛行西北风!@#None!@#甲 、 乙 两 岛 的 共性 特征 是 终年 盛行 西北风!@#甲 、 乙 两 岛 的 共性 特征 是 终年 盛行 西北风!@#甲 、 乙 两 岛 的 共性 特征 是 终年 盛 行西北风!@#甲 、 乙 两 岛 的 共性 特征 是 终年 盛行 西北风!@#!@#NN PU NN CD NN DEG JJ NN VC AD VV NN!@#!@#!@#!@#11!@#!@#!@#!@#!@#!@#!@#!@#指示_0(甲、乙两岛的共性特征,终年盛行西北风)!@#指示!@#0_8!@#0-11!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@# null!@#名词短语(包括时间/地点短语)!@#!@#!@#
3-②!@#甲、乙两岛的共性特征是	地形类型为盆地!@#None!@#甲 、 乙 两 岛 的 共性 特征 是 地形 类型 为 盆地!@#甲 、 乙 两 岛 的 共性 特征 是 地形 类型 为 盆地!@#甲 、 乙 两 岛 的 共性 特征 是 地形 类型 为 盆地!@#甲 、 乙 两 岛 的 共性 特征 是 地形 类型 为 盆地!@#!@#NN PU NN CD NN DEG JJ NN VC NN NN VC NN!@#!@#!@#!@#12!@#!@#!@#!@#!@#!@#!@#!@#指示_0(甲、乙两岛的共性特征,地形类型为盆地)!@#指示!@#0_8!@#0-12!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
3-③!@#甲、乙两岛的共性特征是	河流流程比较短!@#None!@#甲 、 乙 两 岛 的 共性 特征 是 河流 流程 比较 短!@#甲 、 乙 两 岛 的 共性 特征 是 河流 流程 比较 短!@#甲 、 乙 两 岛 的 共性 特征 是 河流 流程 比较 短!@#甲 、 乙 两 岛 的 共性 特征 是 河流 流程 比较 短!@#!@#NN PU NN CD NN DEG JJ NN VC NN NN AD VA!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#指示_0(甲、乙两岛的共性特征,河流流程比较短)!@#指示!@#0_8!@#0-12!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
