编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#图中	甲地是中国日出最早的地方!@#None!@#图 中 甲地 是 中国 日出 最 早 的 地方!@#图 中 甲地 是 中国 日出 最 早 的 地方!@#图 中 甲地 是 中国 日出 最 早 的 地方!@#图 中 甲地 是 中国 日出 最 早 的 地方!@#NN LC loc VC loc VV AD VA DEC NN!@#NN LC NN VC NR VV AD VA DEC NN!@#!@#!@#2 4!@#!@#4!@#!@#!@#( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲地))) (VP (VC 是) (NP (NP (NR 中国)) (CP (IP (VP (VP (VV 日出)) (VP (ADVP (AD 最)) (VP (VA 早))))) (DEC 的)) (NP (NN 地方))))) )!@#!@#!@#!@#指示_0(甲地,中国日出最早的地方)!@#指示!@#0_3!@#2-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#范围限定!@#!@#0-1!@#
1-B!@#图中	夏至日漠河有极昼现象!@#None!@#图 中 夏至日 漠河 有 极昼 现象!@#图 中 夏至日 漠河 有 极昼 现象!@#图 中 夏至日 漠河 有 极昼 现象!@#图 中 夏至日 漠河 有 极昼 现象!@#NN LC time loc VE term NN!@#NN LC NT NR VE NN NN!@#2!@#2!@#3!@#5!@#!@#!@#!@#( (IP (LCP (NP (NN 图)) (LC 中)) (NP (NT 夏至日)) (NP (NR 漠河)) (VP (VE 有) (NP (NN 极昼) (NN 现象)))) )!@#!@#!@#!@#其他陈述_0(漠河,有,极昼现象)时间限定_1(夏至日,0)!@#其他陈述 时间限定!@#!@#2-6!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
1-C!@#图中	大兴安岭为内、外流区分水岭!@#None!@#图 中 大兴安岭 为 内 、 外 流区 分水岭!@#图 中 大兴安岭 为 内 、 外 流区 分水岭!@#图 中 大兴安岭 为 内 、 外 流区 分水岭!@#图 中 大兴安岭 为 内 、 外 流区 分水岭!@#NN LC loc VC JJ PU JJ NN NN!@#NN LC NR VC JJ PU JJ NN NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 大兴安岭))) (VP (VC 为) (NP (ADJP (JJ 内) (PU 、) (JJ 外)) (NP (NN 流区) (NN 分水岭))))) )!@#!@#!@#!@#指示_0(大兴安岭,内、外流区分水岭)!@#指示!@#0_3!@#2-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
1-D!@#图中	松花江干流有凌汛现象!@#None!@#图 中 松花江 干流 有 凌汛 现象!@#图 中 松花江 干流 有 凌汛 现象!@#图 中 松花 江干流 有 凌汛 现象!@#图 中 松花江 干流 有 凌汛 现象!@#NN LC loc NN VE term NN!@#NN LC NR NN VE NN NN!@#!@#!@#2!@#5!@#!@#!@#!@#( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 松花江)) (NP (NN 干流))) (VP (VE 有) (NP (NN 凌汛) (NN 现象)))) )!@#!@#!@#!@#其他陈述_0(松花江干流,有,凌汛现象)!@#其他陈述!@#!@#2-6!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
2-A!@#东北平原	地势中间高，南北低!@#y!@#东北平原 地势 中间 高 ， 南北 低!@#东北 平原 地势 中间 高 ， 南北 低!@#东北平原 地势 中间 高 ， 南北 低!@#东北平原 地势 中间 高 ， 南北 低!@#loc NN NN VA PU NN VA!@#NR NN NN VA PU NN VA!@#!@#!@#0!@#!@#!@#!@#!@#( (IP (NP (NP (NR 东北平原)) (NP (NN 地势))) (IP (IP (NP (NN 中间)) (VP (VA 高))) (PU ，) (IP (NP (NN 南北)) (VP (VA 低))))) )!@#!@#!@#!@#其他陈述_0(东北平原,地势,中间高)其他陈述_1(东北平原,地势,南北低)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#null!@#名词短语(包括时间/地点短语)!@#!@#!@#
2-A-0!@#东北平原	地势中间高!@#ed-ori!@#东北平原 地势 中间 高!@#东北 平原 地势 中间 高!@#东北平原 地势 中间 高!@#东北平原 地势 中间 高!@#loc NN NN VA!@#NR NN NN VA!@#!@#!@#0!@#!@#!@#!@#!@#( (IP (NP (NP (NR 东北平原) (NN 地势)) (NP (NN 中间))) (VP (VA 高))) )!@#!@#!@#!@#其他陈述_0(东北平原,地势,中间高)!@#其他陈述!@#!@#0-3!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
2-A-1!@#东北平原	地势南北低!@#ed-mod!@#东北平原 地势 南北 低!@#东北 平原 地势 南北 低!@#东北平原 地势 南北 低!@#东北平原 地势 南北 低!@#loc NN NN VA!@#NR NN NN VA!@#!@#!@#0!@#!@#!@#!@#!@#( (IP (NP (NP (NR 东北平原) (NN 地势)) (NP (NN 南北))) (VP (VA 低))) )!@#!@#!@#!@#其他陈述_0(东北平原,地势,南北低)!@#其他陈述!@#!@#0-3!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
2-B!@#东北平原	冬冷夏热，伏旱严重!@#y!@#东北平原 冬 冷 夏 热 ， 伏旱 严重!@#东北 平原 冬 冷 夏 热 ， 伏旱 严重!@#东北平原 冬 冷 夏 热 ， 伏旱 严重!@#东北平原 冬 冷 夏 热 ， 伏旱 严重!@#loc NN VA NN VA PU term VA!@#NR NN VA NN VA PU NN VA!@#!@#!@#0!@#6!@#!@#!@#!@#!@#!@#!@#!@#其他陈述_0(东北平原,#,冬冷夏热)其他陈述_1(东北平原,伏旱,严重)!@#其他陈述!@#!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
2-B-0!@#东北平原	冬冷夏热!@#ed-ori!@#东北平原 冬 冷 夏 热!@#东北 平原 冬 冷 夏 热!@#东北平原 冬 冷 夏 热!@#东北平原 冬 冷 夏 热!@#loc NN VA NN VA!@#NR NN VA NN VA!@#!@#!@#0!@#!@#!@#!@#!@#( (IP (NP (NR 东北平原)) (IP (IP (NP (NN 冬)) (VP (VA 冷))) (IP (NP (NN 夏)) (VP (VA 热))))) )!@#!@#!@#!@#其他陈述_0(东北平原,#,冬冷夏热)!@#其他陈述!@#!@#0-4!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
2-B-1!@#东北平原	伏旱严重!@#ed-ori!@#东北平原 伏旱 严重!@#东北 平原 伏旱 严重!@#东北平原 伏旱 严重!@#东北平原 伏旱 严重!@#loc term VA!@#NR NN VA!@#!@#!@#0!@#1!@#!@#!@#!@#( (IP (NP (NP (NR 东北平原)) (NP (NN 伏旱))) (VP (VA 严重))) )!@#!@#!@#!@#其他陈述_0(东北平原,伏旱,严重)!@#其他陈述!@#!@#0-2!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
2-C!@#东北平原	农业实行小农场经营，精耕细作!@#y!@#东北平原 农业 实行 小 农场 经营 ， 精耕细作!@#东北 平原 农业 实行 小 农场 经营 ， 精耕细作!@#东北平原 农业 实行 小农场经营 ， 精耕细作!@#东北平原 农业 实行 小农场经营 ， 精耕细作!@#loc NN VV JJ NN NN PU VA!@#NR NN VV JJ NN NN PU VA!@#!@#!@#0!@#!@#!@#!@#!@#!@#!@#!@#!@#其他陈述_0(东北平原农业,实行,小农场经营)其他陈述_1(东北平原,农业,精耕细作)!@#其他陈述!@#!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
